書名,作者,售價
怪獸8號(7),松本直也,優惠價：79折87元
洛克菲勒寫給兒子的三十封信(新版),約翰‧D‧洛克菲勒,優惠價：79折182元
無煙硝的戰場：從威權到民主轉折的國安手記,張榮豐,優惠價：79折284元
厭世讀論語【圖章親簽版＋「孔子沒有說」首刷限量貼紙】：千年名師神回覆，開解你的人生疑難,厭世國文老師,優惠價：79折269元
心態致瘦：諮商心理師的21堂身心減重課,蘇琮祺,優惠價：79折284元
高潮了！瀨戶內【3冊1盒 ♥ 雙封面書盒版】（博客來獨家贈『直島RISO淫光年曆海報』）,小高潮色計事務所,優惠價：79折552元
全新！新制多益TOEIC聽力／閱讀題庫解析【博客來獨家套書】：全新收錄精準 10 回模擬試題！徹底反映命題趨勢、大幅提升實戰能力！（附2 MP3＋音檔下載QR碼）,Hackers Academia,優惠價：66折1162元
可以強悍，也可以示弱：有身段也有手段，人生的規矩我說了算,黃大米,優惠價：79折292元
尋琴者經典版【限量親簽精裝＋作者祝福彩蛋】,郭強生,優惠價：79折277元
校園霸王與愛哭鬼 全 (首刷限定版),佐倉リコ,優惠價：85折136元
茉莉兒愛烘焙：幸福感手作甜點與美感包裝法,邱穎珊,優惠價：79折300元
【作者親簽版】人生實用商學院：富有是一種選擇,吳淡如,優惠價：79折300元
厭世讀論語：千年名師神回覆，開解你的人生疑難,厭世國文老師,優惠價：79折269元
繼母的拖油瓶是我的前女友 (8) 該讓我見識你的全力了,紙城境介,優惠價：79折205元
86―不存在的戰區― (Ep.11) ─Dies passionis─ 限定版,安里アサト,優惠價：1350元
25點的休假：市川春子作品集II（《寶石之國》作者短篇作品集）【博客來獨家贈出版紀念海報】,市川春子,優惠價：85折272元
全新！新制多益 TOEIC 單字大全 ：備考多益唯一推薦權威單字書！不論題型如何變化，內容持續更新，常考字彙表達完全掌握，準確度最高！（附音檔下載QR碼）,David Cho,優惠價：79折394元
天文學家的咖啡物理學：以全新視角剖析研磨、攪動、滲濾、萃取， 如何影響咖啡沖煮表現，完美重現理想成果,強納森．蓋聶,優惠價：79折537元
月刊少女野崎同學(13)限定版,樁泉,優惠價：85折339元
全彩圖解內臟淋巴按摩：掌握5大淋巴結位置及8大部位淋巴按摩法，簡單消水腫x去痠痛x提升免疫力(超值附贈多用途三角原木按摩器),今野華都子,優惠價：7折209元
鏈鋸人 1,藤本樹,優惠價：85折85元
第四波精品咖啡學：新產區、新品種、新沖煮法，最全面的咖啡潮流聖經,韓懷宗,優惠價：79折624元
獨占我的英雄XII (首刷限定版),ありいめめこ,優惠價：85折162元
親愛的馬克瑪麗 Re：是不是每個男人都這樣？,歐馬克,優惠價：79折300元
保坂與三好 上,スカーレット・ベリ子,優惠價：85折119元
佐佐木哩咧供蝦毀：佐佐木news愛台報導,佐佐木,優惠價：79折300元
時間，才是最後的答案,角子,優惠價：79折300元
鏈鋸人 9,藤本樹,優惠價：85折85元
「教官 財報有問題！」看穿市場鬼故事，買到銅板好股,楊禮軒,優惠價：79折332元
鏈鋸人 3,藤本樹,優惠價：85折85元
鯛代，你這傢伙。 2,ヤマダ,優惠價：85折119元
紅色糖果 1（限）,Hanse,優惠價：9折342元
迎戰新課綱超高效讀書法：31位108課綱第一屆、錄取醫科考生的最實用讀書法大公開,劉駿豪,優惠價：79折292元
東西縱橫記藝——名畫真的很有事！【獨家限量簽名版】：從最醜公爵夫人到維納斯，探索歐洲近代藝文軼事與眾生百態,Junie Wang,優惠價：79折593元
